200,16,27
195,16,29
191,17,32
187,17,34
183,17,36
178,18,38
174,18,40
170,19,42
166,19,44
162,20,47
255,255,255
238,246.5,244.8
221,238,234.6
204,229.5,224.4
187,221,214.2
170,212.5,204
153,204,193.8
136,195.5,183.6
119,187,173.4
102,178.5,163.2
85,170,153
68,161.5,142.8
51,153,132.6
34,144.5,122.4
17,136,112.2
0,127.5,102
1.0625,128.03125,102.158333333333
2.125,128.5625,102.316666666667
3.1875,129.09375,102.475
4.25,129.625,102.633333333333
5.3125,130.15625,102.791666666667
6.375,130.6875,102.95
7.4375,131.21875,103.108333333333
8.5,131.75,103.266666666667
9.5625,132.28125,103.425
10.625,132.8125,103.583333333333
11.6875,133.34375,103.741666666667
12.75,133.875,103.9
13.8125,134.40625,104.058333333333
14.875,134.9375,104.216666666667
15.9375,135.46875,104.375
17,136,104.533333333333
18.0625,136.53125,104.691666666667
19.125,137.0625,104.85
20.1875,137.59375,105.008333333333
21.25,138.125,105.166666666667
22.3125,138.65625,105.325
23.375,139.1875,105.483333333333
24.4375,139.71875,105.641666666667
25.5,140.25,105.8
26.5625,140.78125,105.958333333333
27.625,141.3125,106.116666666667
28.6875,141.84375,106.275
29.75,142.375,106.433333333333
30.8125,142.90625,106.591666666667
31.875,143.4375,106.75
32.9375,143.96875,106.908333333333
34,144.5,107.066666666667
35.0625,145.03125,107.225
36.125,145.5625,107.383333333333
37.1875,146.09375,107.541666666667
38.25,146.625,107.7
39.3125,147.15625,107.858333333333
40.375,147.6875,108.016666666667
41.4375,148.21875,108.175
42.5,148.75,108.333333333333
43.5625,149.28125,108.491666666667
44.625,149.8125,108.65
45.6875,150.34375,108.808333333333
46.75,150.875,108.966666666667
47.8125,151.40625,109.125
48.875,151.9375,109.283333333333
49.9375,152.46875,109.441666666667
51,153,109.6
52.0625,153.53125,109.758333333333
53.125,154.0625,109.916666666667
54.1875,154.59375,110.075
55.25,155.125,110.233333333333
56.3125,155.65625,110.391666666667
57.375,156.1875,110.55
58.4375,156.71875,110.708333333333
59.5,157.25,110.866666666667
60.5625,157.78125,111.025
61.625,158.3125,111.183333333333
62.6875,158.84375,111.341666666667
63.75,159.375,111.5
64.8125,159.90625,111.658333333333
65.875,160.4375,111.816666666667
66.9375,160.96875,111.975
68,161.5,112.133333333333
69.0625,162.03125,112.291666666667
70.125,162.5625,112.45
71.1875,163.09375,112.608333333333
72.25,163.625,112.766666666667
73.3125,164.15625,112.925
74.375,164.6875,113.083333333333
75.4375,165.21875,113.241666666667
76.5,165.75,113.4
77.5625,166.28125,113.558333333333
78.625,166.8125,113.716666666667
79.6875,167.34375,113.875
80.75,167.875,114.033333333333
81.8125,168.40625,114.191666666667
82.875,168.9375,114.35
83.9375,169.46875,114.508333333333
85,170,114.666666666667
86.0625,170.53125,114.825
87.125,171.0625,114.983333333333
88.1875,171.59375,115.141666666667
89.25,172.125,115.3
90.3125,172.65625,115.458333333333
91.375,173.1875,115.616666666667
92.4375,173.71875,115.775
93.5,174.25,115.933333333333
94.5625,174.78125,116.091666666667
95.625,175.3125,116.25
96.6875,175.84375,116.408333333333
97.75,176.375,116.566666666667
98.8125,176.90625,116.725
99.875,177.4375,116.883333333333
100.9375,177.96875,117.041666666667
102,178.5,117.2
103.0625,179.03125,117.358333333333
104.125,179.5625,117.516666666667
105.1875,180.09375,117.675
106.25,180.625,117.833333333333
107.3125,181.15625,117.991666666667
108.375,181.6875,118.15
109.4375,182.21875,118.308333333333
110.5,182.75,118.466666666667
111.5625,183.28125,118.625
112.625,183.8125,118.783333333333
113.6875,184.34375,118.941666666667
114.75,184.875,119.1
115.8125,185.40625,119.258333333333
116.875,185.9375,119.416666666667
117.9375,186.46875,119.575
119,187,119.733333333333
120.0625,187.53125,119.891666666667
121.125,188.0625,120.05
122.1875,188.59375,120.208333333333
123.25,189.125,120.366666666667
