t_sync_us,capture_time_ns,source_pose_index,source,quality,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s
702542,1789025760121000000,50,HEAD_POSE_ESTIMATE,estimated,-1.7947657842505802,5.74586141306337,8.007660962925703,-0.13579268484291512,-0.1895869849335535,-0.13762308206111867
717542,1789025760136000000,51,HEAD_POSE_ESTIMATE,estimated,-1.8360251918809938,5.79506364311026,8.080435958640022,-0.14563570493778713,-0.19560861532739943,-0.16725186929413385
730542,1789025760149000000,52,HEAD_POSE_ESTIMATE,estimated,-1.868863425436245,5.84533247316489,8.122671892397543,-0.16725764677261815,-0.2068795696422228,-0.19177580615954468
743542,1789025760162000000,53,HEAD_POSE_ESTIMATE,estimated,-1.922646673643728,5.856543398142311,8.186677050352847,-0.17817272865951148,-0.21851063842426044,-0.20957701136071627
758542,1789025760177000000,54,HEAD_POSE_ESTIMATE,estimated,-1.971218657536147,5.896272659911812,8.212589498392797,-0.16727452527182213,-0.2326770085534331,-0.21463788128617078
772542,1789025760191000000,55,HEAD_POSE_ESTIMATE,estimated,-2.0085167299885875,5.884448193996476,8.224648234579057,-0.14660879683419256,-0.253876474793997,-0.21056087275903654
786542,1789025760205000000,56,HEAD_POSE_ESTIMATE,estimated,-2.0096957140570177,5.8920020437841805,8.214550410523586,-0.10588349563106725,-0.2585322514666604,-0.18951697337325557
800542,1789025760219000000,57,HEAD_POSE_ESTIMATE,estimated,-2.004866577989758,5.886170382273699,8.17968532920343,-0.04627477618041786,-0.24937825056345767,-0.15544032144504746
814542,1789025760233000000,58,HEAD_POSE_ESTIMATE,estimated,-1.9685139339313236,5.873829884605081,8.109062015350222,0.013959056990135402,-0.23184654010339845,-0.11245132128208316
829542,1789025760248000000,59,HEAD_POSE_ESTIMATE,estimated,-1.9263695985956921,5.833736867587824,8.013218128651548,0.08824966491670971,-0.1988408815796834,-0.07055601655830195
843542,1789025760262000000,60,HEAD_POSE_ESTIMATE,estimated,-1.8681686535857236,5.814695785974386,7.874921614857626,0.16079874700534744,-0.15987914664439817,-0.03708648859426373
854542,1789025760273000000,61,HEAD_POSE_ESTIMATE,estimated,-1.8229609466670293,5.785030672990612,7.77771610795115,0.21327819781212623,-0.12359874815747836,-0.02264566781450231
869542,1789025760288000000,62,HEAD_POSE_ESTIMATE,estimated,-1.7518911840710576,5.711736831855086,7.676264451717739,0.28851496972726015,-0.07549164591416907,-0.002438966632532707
884542,1789025760303000000,63,HEAD_POSE_ESTIMATE,estimated,-1.6900651980419428,5.664309166272377,7.576933793198347,0.32666618174113926,-0.0413928536390419,0.002529744511293368
897542,1789025760316000000,64,HEAD_POSE_ESTIMATE,estimated,-1.6444275907543953,5.609557505969927,7.518605271750352,0.3318304573471407,-0.02405191963898,0.0011228926560092707
911542,1789025760330000000,65,HEAD_POSE_ESTIMATE,estimated,-1.6139650095032856,5.588602748873877,7.474392071989121,0.3031325616096937,-0.01890864160532455,-0.01504942586526304
924542,1789025760343000000,66,HEAD_POSE_ESTIMATE,estimated,-1.6076268801175881,5.622699490485285,7.42577240403579,0.25539608570201633,-0.025734582080434144,-0.036727829228489196
939542,1789025760358000000,67,HEAD_POSE_ESTIMATE,estimated,-1.5935559026042412,5.629417052349133,7.394950383031942,0.19000972327362572,-0.03840839918450817,-0.06172252536167972
953542,1789025760372000000,68,HEAD_POSE_ESTIMATE,estimated,-1.5763399579690403,5.6578771025503,7.39160372886435,0.13533686282029225,-0.04978955443882808,-0.08157555724545397
967542,1789025760386000000,69,HEAD_POSE_ESTIMATE,estimated,-1.5565716449156544,5.691902692331674,7.411505781847153,0.0705318202451459,-0.06400773502534261,-0.09416979617158479
982542,1789025760401000000,70,HEAD_POSE_ESTIMATE,estimated,-1.5355767025460867,5.667213040330834,7.4727611831694665,-0.0012208377685048362,-0.07932399026767759,-0.10025443401551737
999542,1789025760418000000,71,HEAD_POSE_ESTIMATE,estimated,-1.5315863422775091,5.631437755299524,7.539370383018637,-0.05085840440803708,-0.08908186764557906,-0.08960775208468645
1008542,1789025760427000000,72,HEAD_POSE_ESTIMATE,estimated,-1.5382921314057156,5.627864914246659,7.575556632336288,-0.06491845668565294,-0.09717940506182289,-0.07990004281977652
1022542,1789025760441000000,73,HEAD_POSE_ESTIMATE,estimated,-1.534422657475677,5.656535568561314,7.623371791392926,-0.0670514676580617,-0.10696849869926295,-0.0724693491775324
1036542,1789025760455000000,74,HEAD_POSE_ESTIMATE,estimated,-1.5198994097822571,5.670035063877639,7.670592235423355,-0.05058809896036987,-0.11129674944013757,-0.0711453392473727
1050542,1789025760469000000,75,HEAD_POSE_ESTIMATE,estimated,-1.5121557331086568,5.671197741066157,7.730573967937999,-0.03771571270691372,-0.11735638639799297,-0.0740881966162663
1063542,1789025760482000000,76,HEAD_POSE_ESTIMATE,estimated,-1.5007350540635145,5.656431892401175,7.800074041054199,-0.02605419622809271,-0.11989807936421784,-0.0765064420084376
